########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	43524
file                           	FCQS-020_K_BOA_000.5A_201127_121811.dat
date                           	27/11/2020
hour                           	12:18:11
operator                       	Lucas Balthazar
software_version               	v3.6
bench                          	1
temperature(C)                 	24.12
integrator_gain                	100
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+4.997500e-01
main_coil_current_std(A)       	+3.400851e-03
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-4_2020-08-06_r=13mm_b1_CALIBRATED
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	232433
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.013042
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	Desmagnetização bipolar + rampa de excitação, R = 0.013042, fator = 0%



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/SnMagnet@12.0mm	std_Nn/SnMagnet@12.0mm	avg_Sn/SnMagnet@12.0mm	std_Sn/SnMagnet@12.0mm
1   	  -2.916806e-05   	  +1.629525e-07   	  -1.848135e-05   	  +1.609850e-07   	  +3.453022e-05   	  +1.623913e-07   	  +1.006025e+00   	  +4.678541e-03   	  +1.019765e-01   	  +5.711201e-04   	  +6.461382e-02   	  +5.634044e-04   
2   	  +2.844286e-07   	  +9.113811e-06   	  -2.383560e-02   	  +9.375619e-06   	  +2.383560e-02   	  +9.375619e-06   	  -5.966464e-06   	  +1.911806e-04   	  -1.194703e-05   	  +3.823612e-04   	  +1.000000e+00   	  +5.562740e-04   
3   	  +3.169093e-02   	  +8.704681e-04   	  -2.347316e-02   	  +5.413335e-04   	  +3.943734e-02   	  +7.701283e-04   	  -3.110934e-01   	  +5.717973e-03   	  -1.595469e-02   	  +4.382808e-04   	  +1.181750e-02   	  +2.725732e-04   
4   	  +5.076203e-02   	  +3.336093e-02   	  +2.143480e-01   	  +2.790896e-02   	  +2.202767e-01   	  +2.822498e-02   	  +5.813416e-02   	  +3.755956e-02   	  -3.066716e-04   	  +2.015462e-04   	  -1.294932e-03   	  +1.686095e-04   
5   	  -8.412106e+00   	  +2.578941e+00   	  +1.421819e+01   	  +3.334150e+00   	  +1.652031e+01   	  +3.155741e+00   	  -1.068505e-01   	  +3.383014e-02   	  +6.098282e-04   	  +1.869646e-04   	  -1.030729e-03   	  +2.417148e-04   
6   	  -1.487588e+02   	  +1.779853e+02   	  -5.972174e+04   	  +1.133459e+02   	  +5.972192e+04   	  +1.133464e+02   	  +4.151435e-04   	  +4.967048e-04   	  +1.294324e-04   	  +1.548400e-04   	  +5.195546e-02   	  +1.007018e-04   
7   	  +1.696638e+05   	  +6.004936e+04   	  -1.385178e+05   	  +5.849406e+04   	  +2.190273e+05   	  +5.943219e+04   	  -1.265886e-01   	  +3.856076e-02   	  -1.771144e-03   	  +6.268862e-04   	  +1.446091e-03   	  +6.106495e-04   
8   	  -1.115799e+06   	  +7.185911e+05   	  -3.012234e+04   	  +9.359473e+05   	  +1.116206e+06   	  +7.187733e+05   	  +1.929758e-01   	  +1.047978e-01   	  +1.397718e-04   	  +9.002087e-05   	  +3.779313e-06   	  +1.172500e-04   
9   	  +2.600171e+08   	  +1.182022e+08   	  +4.429992e+07   	  +1.217419e+08   	  +2.637639e+08   	  +1.183035e+08   	  +1.557826e-01   	  +5.124258e-02   	  -3.909077e-04   	  +1.776921e-04   	  -6.661940e-05   	  +1.830133e-04   
10  	  +2.304333e+09   	  +8.358135e+09   	  +3.815423e+11   	  +9.689677e+09   	  +3.815493e+11   	  +9.689631e+09   	  +6.039448e-04   	  +2.190592e-03   	  -4.157559e-05   	  +1.507763e-04   	  -6.882847e-03   	  +1.748176e-04   
11  	  -1.067974e+11   	  +3.233257e+12   	  +9.090353e+11   	  +2.984770e+12   	  +9.152873e+11   	  +2.988292e+12   	  -1.063166e-02   	  +3.208136e-01   	  +2.307233e-05   	  +6.999150e-04   	  -1.968022e-04   	  +6.461241e-04   
12  	  +1.838305e+12   	  +4.225841e+13   	  -3.961031e+13   	  +5.019889e+13   	  +3.965294e+13   	  +5.018317e+13   	  -3.864708e-03   	  +8.884813e-02   	  -4.760576e-06   	  +1.097740e-04   	  +1.029011e-04   	  +1.304008e-04   
13  	  +2.788687e+15   	  +1.789321e+15   	  -6.479049e+14   	  +4.190908e+15   	  +2.862963e+15   	  +1.984240e+15   	  -1.032702e-01   	  +1.102197e-01   	  -8.694472e-05   	  +5.577708e-05   	  +2.023604e-05   	  +1.306398e-04   
14  	  +1.600409e+17   	  +2.757955e+17   	  +3.964113e+18   	  +2.264365e+17   	  +3.967342e+18   	  +2.265256e+17   	  +2.882180e-03   	  +4.964143e-03   	  -5.985785e-05   	  +1.031658e-04   	  -1.482827e-03   	  +8.470431e-05   
15  	  +5.478815e+18   	  +1.820705e+19   	  +4.780188e+18   	  +1.676633e+19   	  +7.271011e+18   	  +1.759882e+19   	  +5.689281e-02   	  +1.595713e-01   	  -2.460605e-05   	  +8.172775e-05   	  -2.145118e-05   	  +7.526066e-05   

magnetic_center_x(um) 	-775.367
magnetic_center_y(um) 	1223.718


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
2.450018200761e-06	2.436584509269e-06	2.440546950311e-06	2.449785824865e-06	2.448884515616e-06	2.449717158015e-06	2.458749122525e-06	2.450016609146e-06	2.446580538162e-06	2.454765763105e-06
2.403682401564e-06	2.411376954115e-06	2.410203933323e-06	2.40979238697e-06	2.409814896964e-06	2.412518142592e-06	2.403777216387e-06	2.414932168904e-06	2.420309328954e-06	2.413029733361e-06
2.371583832428e-06	2.358815208936e-06	2.364474312344e-06	2.369856247242e-06	2.365059572185e-06	2.367113893342e-06	2.37240487877e-06	2.364648025832e-06	2.367029765082e-06	2.374090399826e-06
2.267987838422e-06	2.276498207721e-06	2.26947304327e-06	2.271088305861e-06	2.28285148296e-06	2.280910621266e-06	2.269553306178e-06	2.289575832037e-06	2.289725898663e-06	2.285764821863e-06
2.184224513258e-06	2.177651822421e-06	2.188578491769e-06	2.193225782321e-06	2.176574980695e-06	2.18318723455e-06	2.189775386796e-06	2.18124841922e-06	2.175794406867e-06	2.185051016568e-06
2.040586423391e-06	2.050470357062e-06	2.035722673099e-06	2.033634700638e-06	2.037748799921e-06	2.037475496763e-06	2.03863396564e-06	2.056307721432e-06	2.059984353764e-06	2.047088855761e-06
1.904024770738e-06	1.892507270895e-06	1.885097162813e-06	1.89646959825e-06	1.89154434338e-06	1.897748575175e-06	1.909268121381e-06	1.891438046187e-06	1.894217689369e-06	1.891517513286e-06
1.704064402475e-06	1.693528929536e-06	1.684511971689e-06	1.684668177404e-06	1.695630885479e-06	1.698636651781e-06	1.695458422546e-06	1.716143628983e-06	1.710917331366e-06	1.705311206024e-06
1.532178998787e-06	1.513101778983e-06	1.528708025944e-06	1.51449353325e-06	1.526105052108e-06	1.530200052002e-06	1.537543766972e-06	1.516682686997e-06	1.5059576981e-06	1.515449980616e-06
1.31894387323e-06	1.314790779361e-06	1.310821517109e-06	1.32419268084e-06	1.327332597612e-06	1.339150117019e-06	1.321568220192e-06	1.335635261057e-06	1.345503278571e-06	1.334732473879e-06
1.183556150863e-06	1.162005673905e-06	1.160683837043e-06	1.16863986932e-06	1.178167508442e-06	1.178776415145e-06	1.184790903608e-06	1.155490053861e-06	1.151485321316e-06	1.160954525403e-06
9.697529321784e-07	9.869814903141e-07	9.812279131438e-07	9.877729780783e-07	1.003464149107e-06	9.95174673335e-07	9.811274139793e-07	1.005665126286e-06	1.000489191938e-06	1.000516022032e-06
8.443740284747e-07	8.370872706109e-07	8.518792924406e-07	8.507673783242e-07	8.531737307749e-07	8.557175874557e-07	8.487927516398e-07	8.28426834687e-07	8.422371138295e-07	8.535319580005e-07
6.750404395461e-07	6.693200020891e-07	6.674367796222e-07	6.750355510121e-07	6.750569241376e-07	6.75961075558e-07	6.731945063621e-07	6.858301730972e-07	6.898572451064e-07	6.875024496367e-07
5.303766670295e-07	5.441431767395e-07	5.552297466238e-07	5.570578878178e-07	5.521580419554e-07	5.428535700958e-07	5.429245675259e-07	5.346274178919e-07	5.425448534879e-07	5.409760319708e-07
3.826768306681e-07	3.784355442349e-07	3.808958126683e-07	3.698729074131e-07	3.839361397695e-07	3.754317106086e-07	3.790185303387e-07	3.933240293463e-07	3.913186219506e-07	4.106570372642e-07
2.622361421345e-07	2.474010045717e-07	2.547804172082e-07	2.526157629745e-07	2.437857631321e-07	2.520048951737e-07	2.583720686289e-07	2.559898746313e-07	2.533596727972e-07	2.483217258487e-07
8.284347785548e-08	8.677797325163e-08	7.055533757239e-08	7.209903429839e-08	8.827137776279e-08	7.190266160251e-08	8.296292008936e-08	9.462145555972e-08	1.022007651841e-07	9.650697307961e-08
-5.575625294796e-08	-6.486329340305e-08	-5.962193228015e-08	-7.823571479548e-08	-7.263766832466e-08	-5.389874502271e-08	-6.30779624089e-08	-6.611539760115e-08	-6.5436388752e-08	-7.717179073552e-08
-2.416128097593e-07	-2.48164013783e-07	-2.593123724637e-07	-2.502796405679e-07	-2.437132309296e-07	-2.677128350115e-07	-2.341469951261e-07	-2.223330426432e-07	-2.270225252232e-07	-2.35020578998e-07
-4.111382452265e-07	-4.007490872482e-07	-3.969796864567e-07	-4.172416367965e-07	-4.163869959939e-07	-4.006691654013e-07	-3.944270190459e-07	-4.080018811692e-07	-4.159588229413e-07	-4.241201736477e-07
-6.000952339491e-07	-6.135902026472e-07	-6.246735324567e-07	-6.100376026552e-07	-6.009495336912e-07	-6.002226768942e-07	-5.901538884245e-07	-5.901168265154e-07	-5.959167879155e-07	-5.853410698364e-07
-7.69199516526e-07	-7.749480914754e-07	-7.735895337646e-07	-7.766059866299e-07	-7.77429761456e-07	-7.718933829892e-07	-7.767074521325e-07	-7.888007189649e-07	-7.803184871591e-07	-7.911172019703e-07
-9.800239695323e-07	-9.894858976622e-07	-9.865939318843e-07	-9.712919109006e-07	-9.529578619549e-07	-9.729577641338e-07	-9.517750640953e-07	-9.525863333693e-07	-9.64786181612e-07	-9.554366897646e-07
-1.12813143005e-06	-1.132231091105e-06	-1.114575184147e-06	-1.121343871091e-06	-1.12106204142e-06	-1.115188297263e-06	-1.125387598222e-06	-1.137074264079e-06	-1.12993689072e-06	-1.126768665927e-06
-1.252608740288e-06	-1.256062660104e-06	-1.268679966415e-06	-1.254000039808e-06	-1.241284508069e-06	-1.261558509214e-06	-1.24938276258e-06	-1.244433974534e-06	-1.241519612449e-06	-1.240860228791e-06
-1.359156499348e-06	-1.35852656058e-06	-1.348383534605e-06	-1.355512608825e-06	-1.356112534268e-06	-1.352857111669e-06	-1.3519957065e-06	-1.360538817607e-06	-1.356350139758e-06	-1.354728851766e-06
-1.433698230358e-06	-1.442262941964e-06	-1.447982413083e-06	-1.440311393708e-06	-1.437596893084e-06	-1.449686351407e-06	-1.437056994291e-06	-1.432451199435e-06	-1.437304604224e-06	-1.428844029761e-06
-1.488816451456e-06	-1.485079451413e-06	-1.477654905102e-06	-1.488531438554e-06	-1.480511400587e-06	-1.483241703681e-06	-1.483087203269e-06	-1.485847974436e-06	-1.477085106671e-06	-1.483121764068e-06
-1.504767624283e-06	-1.519166175967e-06	-1.513849042567e-06	-1.50539290189e-06	-1.510017909823e-06	-1.525082439002e-06	-1.502688860455e-06	-1.499885456724e-06	-1.509568505753e-06	-1.505694740445e-06
-1.511260279585e-06	-1.509357048235e-06	-1.501432166151e-06	-1.515796157037e-06	-1.505305249339e-06	-1.496551590208e-06	-1.502819031884e-06	-1.509575213277e-06	-1.499859877185e-06	-1.505903355792e-06
