########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	44403
file                           	FCCV-028_D_BOA_000.8A_201209_132210.dat
date                           	09/12/2020
hour                           	13:22:10
operator                       	Lucas Balthazar
software_version               	v3.6
bench                          	1
temperature(C)                 	23.96
integrator_gain                	100
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+7.983000e-01
main_coil_current_std(A)       	+3.657724e-03
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-4_2020-08-06_r=13mm_b1_CALIBRATED
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	232433
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.013042
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	Desmagnetização bipolar + rampa de excitação, R = 0.013042, fator = 0%



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/SnMagnet@12.0mm	std_Nn/SnMagnet@12.0mm	avg_Sn/SnMagnet@12.0mm	std_Sn/SnMagnet@12.0mm
1   	  -2.626121e-05   	  +4.329717e-07   	  -2.723075e-04   	  +2.290236e-07   	  +2.735709e-04   	  +2.317239e-07   	  +9.614223e-02   	  +1.577407e-03   	  +9.643974e-02   	  +1.592078e-03   	  +1.000000e+00   	  +1.189421e-03   
2   	  -8.992892e-05   	  +1.217201e-05   	  -1.520872e-06   	  +9.916153e-06   	  +8.994178e-05   	  +1.217143e-05   	  +7.769430e-01   	  +5.512939e-02   	  +3.963154e-03   	  +5.364046e-04   	  +6.714249e-05   	  +4.369833e-04   
3   	  +2.710395e-02   	  +6.899155e-04   	  -8.027732e-01   	  +7.558047e-04   	  +8.032306e-01   	  +7.557330e-04   	  -1.125003e-02   	  +2.863412e-04   	  -1.433304e-02   	  +3.650360e-04   	  +4.245178e-01   	  +5.359305e-04   
4   	  -2.834100e-01   	  +5.986072e-02   	  +2.002825e-01   	  +2.954378e-02   	  +3.470365e-01   	  +5.177383e-02   	  -2.388990e-01   	  +3.035560e-02   	  +1.798405e-03   	  +3.798652e-04   	  -1.270996e-03   	  +1.874810e-04   
5   	  +1.297434e+00   	  +3.625576e+00   	  -1.379457e+02   	  +2.351143e+00   	  +1.379518e+02   	  +2.351286e+00   	  -1.881024e-03   	  +5.256160e-03   	  -9.881848e-05   	  +2.760848e-04   	  +1.050434e-02   	  +1.792555e-04   
6   	  -1.755529e+03   	  +3.141640e+02   	  +1.142092e+03   	  +1.485367e+02   	  +2.094339e+03   	  +2.755163e+02   	  -1.656703e-01   	  +1.685377e-02   	  +1.604191e-03   	  +2.870833e-04   	  -1.043678e-03   	  +1.357342e-04   
7   	  +1.268356e+05   	  +1.592729e+04   	  -3.950739e+06   	  +9.804235e+03   	  +3.952774e+06   	  +9.812504e+03   	  -4.584749e-03   	  +5.754438e-04   	  -1.390840e-03   	  +1.746544e-04   	  +4.332180e-02   	  +1.135146e-04   
8   	  -8.051498e+05   	  +4.485091e+06   	  -1.897158e+06   	  +5.908871e+06   	  +2.060940e+06   	  +5.714553e+06   	  +5.017007e-02   	  +2.868950e-01   	  +1.059101e-04   	  +5.901744e-04   	  +2.496298e-04   	  +7.775237e-04   
9   	  +1.280370e+08   	  +1.904970e+08   	  +5.751583e+09   	  +1.626367e+08   	  +5.753008e+09   	  +1.626517e+08   	  +2.473055e-03   	  +3.678929e-03   	  -2.021672e-04   	  +3.008005e-04   	  -9.081831e-03   	  +2.569218e-04   
10  	  -1.567208e+10   	  +4.236039e+10   	  +7.789506e+09   	  +4.312103e+10   	  +1.750116e+10   	  +4.251216e+10   	  -1.109527e-01   	  +2.455347e-01   	  +2.969210e-04   	  +8.026600e-04   	  -1.475301e-04   	  +8.170729e-04   
11  	  -3.929634e+11   	  +6.453742e+11   	  -1.186908e+12   	  +5.611744e+11   	  +1.250269e+12   	  +5.700461e+11   	  +2.906569e-02   	  +4.635743e-02   	  +8.936613e-05   	  +1.467454e-04   	  +2.698643e-04   	  +1.276002e-04   
12  	  +2.134244e+13   	  +5.665603e+13   	  -1.198582e+13   	  +3.928607e+13   	  +2.447774e+13   	  +5.301253e+13   	  -8.825784e-02   	  +1.500655e-01   	  -5.821115e-05   	  +1.545896e-04   	  +3.267395e-05   	  +1.071946e-04   
13  	  +1.972261e+15   	  +4.191272e+15   	  +3.741434e+16   	  +1.950110e+15   	  +3.746628e+16   	  +1.959864e+15   	  +4.051177e-03   	  +8.595872e-03   	  -6.457053e-05   	  +1.372339e-04   	  -1.225084e-03   	  +6.386030e-05   
14  	  +6.171737e+16   	  +2.842347e+17   	  -1.944298e+16   	  +2.293342e+17   	  +6.470752e+16   	  +2.797208e+17   	  -9.040042e-02   	  +2.592088e-01   	  -2.422679e-05   	  +1.116796e-04   	  +7.643067e-06   	  +9.010845e-05   
15  	  +7.713009e+18   	  +1.536681e+19   	  +1.111170e+20   	  +1.457879e+19   	  +1.113844e+20   	  +1.458267e+19   	  +4.620147e-03   	  +9.195259e-03   	  -3.637868e-05   	  +7.245388e-05   	  -5.238991e-04   	  +6.873978e-05   

magnetic_center_x(um) 	0.0
magnetic_center_y(um) 	0.0


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
2.904646862589e-06	2.893150167438e-06	2.904497932832e-06	2.907694579335e-06	2.899260380218e-06	2.910682042057e-06	2.891620852097e-06	2.908495162046e-06	2.906177314799e-06	2.907469024649e-06
2.868130877687e-06	2.869350510082e-06	2.856977062038e-06	2.874390474972e-06	2.863306463041e-06	2.867358716685e-06	2.872997129089e-06	2.86461909127e-06	2.867056764444e-06	2.87218745143e-06
2.812385673678e-06	2.793443172777e-06	2.8069189284e-06	2.803848246913e-06	2.797076831484e-06	2.810985733959e-06	2.804707492032e-06	2.811908643707e-06	2.815094603648e-06	2.806523980325e-06
2.70727264251e-06	2.717885536185e-06	2.704616917981e-06	2.719574467847e-06	2.706037548705e-06	2.705995484575e-06	2.717099278016e-06	2.709300815695e-06	2.71608746516e-06	2.720637894527e-06
2.601393134682e-06	2.577946133897e-06	2.589323457869e-06	2.585591801108e-06	2.580623004178e-06	2.596970944069e-06	2.590355279608e-06	2.597122829684e-06	2.595762680357e-06	2.588360530353e-06
2.44627108259e-06	2.455211415509e-06	2.444441861371e-06	2.458835751895e-06	2.444652409395e-06	2.442361392241e-06	2.461860276526e-06	2.454726200085e-06	2.452314674883e-06	2.449826297379e-06
2.288121550009e-06	2.261661393277e-06	2.277427711306e-06	2.280038643221e-06	2.275249016748e-06	2.294086016263e-06	2.282110699525e-06	2.289453505e-06	2.289544681844e-06	2.283871936015e-06
2.104250597768e-06	2.109687557095e-06	2.094112687701e-06	2.113359869327e-06	2.100149458784e-06	2.105489784299e-06	2.111988351317e-06	2.106479996655e-06	2.098700861097e-06	2.10581833926e-06
1.910733772092e-06	1.8836444724e-06	1.905782596623e-06	1.906822490128e-06	1.91593380805e-06	1.925685637616e-06	1.92045104086e-06	1.915762595672e-06	1.922302544699e-06	1.908292006192e-06
1.745937083797e-06	1.764593889675e-06	1.754510435603e-06	1.767668550201e-06	1.759297106219e-06	1.751782292558e-06	1.759213319019e-06	1.758082930792e-06	1.74421779775e-06	1.744229507494e-06
1.589951921233e-06	1.56526380124e-06	1.574423208694e-06	1.593109118403e-06	1.583788389325e-06	1.595346361682e-06	1.585007908034e-06	1.587187512087e-06	1.587048814145e-06	1.599591200829e-06
1.454915036447e-06	1.463074113417e-06	1.459132249693e-06	1.458397719034e-06	1.474012151448e-06	1.459061763853e-06	1.461049464524e-06	1.455842266296e-06	1.445619432161e-06	1.452351739317e-06
1.311376649937e-06	1.294655930906e-06	1.304064767282e-06	1.324947788817e-06	1.302957457483e-06	1.310688958256e-06	1.300988969888e-06	1.309826529905e-06	1.317749138252e-06	1.321694071521e-06
1.20540437365e-06	1.205152784678e-06	1.199505845761e-06	1.191716705762e-06	1.219800765284e-06	1.194825358652e-06	1.202887460749e-06	1.193027742374e-06	1.179392370432e-06	1.19335288673e-06
1.089529632736e-06	1.057311806107e-06	1.068468691301e-06	1.078025320567e-06	1.058271436705e-06	1.074818783309e-06	1.062922251549e-06	1.07773973923e-06	1.090077830668e-06	1.080084530258e-06
9.759946806298e-07	9.834525371843e-07	9.925444146575e-07	9.756158760865e-07	9.842021881923e-07	9.658086810305e-07	9.814689292398e-07	9.775474154594e-07	9.576507409292e-07	9.813593351282e-07
8.648607945361e-07	8.541124998374e-07	8.452100246359e-07	8.754322493587e-07	8.519364200765e-07	8.691718562659e-07	8.624139695712e-07	8.707457368473e-07	8.871568866198e-07	8.735385677028e-07
7.825419174878e-07	7.828591037651e-07	7.684976139899e-07	7.678776228204e-07	7.696864372519e-07	7.724137276455e-07	7.679979034947e-07	7.668201078559e-07	7.552584406767e-07	7.813197839823e-07
6.640001402047e-07	6.443772804232e-07	6.480118486252e-07	6.631797191403e-07	6.595436730095e-07	6.642474090768e-07	6.610406444452e-07	6.729582651133e-07	6.724430932081e-07	6.575779707418e-07
5.629496513393e-07	5.828758276039e-07	5.734577825933e-07	5.663463866767e-07	5.745850444328e-07	5.703920464839e-07	5.741867994402e-07	5.807657998957e-07	5.69394046579e-07	5.732765089306e-07
4.75425423474e-07	4.427650708294e-07	4.510279154601e-07	4.586750890212e-07	4.720538129277e-07	4.932599608765e-07	4.732477805192e-07	4.670393991546e-07	4.615402815489e-07	4.71653436307e-07
3.874734488818e-07	3.872937668348e-07	3.855559214117e-07	3.98364107923e-07	3.997747626272e-07	3.939038322187e-07	3.871824958424e-07	4.005253515516e-07	3.859023252062e-07	3.758910906981e-07
2.819677149546e-07	2.884100922529e-07	2.816664164129e-07	3.086005335717e-07	2.98886817518e-07	3.036914222321e-07	3.026953265817e-07	2.83658579292e-07	2.959804987768e-07	2.939914054423e-07
2.342504217268e-07	2.414615778434e-07	2.418156270778e-07	2.563247392118e-07	2.547899669025e-07	2.407077204225e-07	2.228236724022e-07	2.427977392472e-07	2.26482129051e-07	2.418338169718e-07
1.894267853686e-07	1.731137189154e-07	1.803241218568e-07	2.012695716758e-07	1.886653961947e-07	1.926716066691e-07	2.084877337438e-07	1.786471131027e-07	1.804871061495e-07	1.916944825098e-07
2.005762240742e-07	2.015291329371e-07	2.071977291962e-07	1.919757437463e-07	2.019665004127e-07	1.931850306391e-07	1.804531279959e-07	1.980287578363e-07	1.876609587725e-07	1.956703670203e-07
1.955392008313e-07	1.895544841091e-07	1.97812610736e-07	2.282739188786e-07	2.051108225487e-07	1.988917830431e-07	2.050025074141e-07	1.98594051426e-07	2.041426796495e-07	2.1841630371e-07
2.809880470522e-07	2.743524873949e-07	2.808698411627e-07	2.666962473086e-07	2.675836299204e-07	2.623312411743e-07	2.575979181074e-07	2.690947269457e-07	2.585257732335e-07	2.716749349929e-07
3.314664240861e-07	3.354299735747e-07	3.211639238998e-07	3.286698131433e-07	3.261981760261e-07	3.23269546243e-07	3.41411947602e-07	3.375850496923e-07	3.401806338843e-07	3.364191627497e-07
4.303010143758e-07	4.366204393591e-07	4.390590220282e-07	4.288771435768e-07	4.299606359837e-07	4.446134767022e-07	4.115061358334e-07	4.442746330824e-07	4.24201715532e-07	4.371631519007e-07
5.293001663631e-07	5.093297659187e-07	5.001015210837e-07	5.139955874256e-07	5.051074367657e-07	5.11048710905e-07	5.491230012922e-07	5.251434345155e-07	5.212785367803e-07	5.36198399459e-07
6.329659640869e-07	6.135690568954e-07	6.212770813363e-07	6.036049171598e-07	6.063446562621e-07	6.190086878632e-07	5.963804596831e-07	6.348509486998e-07	6.203374027791e-07	6.111877723924e-07
6.615796337428e-07	6.718987606291e-07	6.575799602615e-07	6.904112410666e-07	6.715211497976e-07	6.644625614172e-07	6.94788468536e-07	6.647815098404e-07	6.671526193713e-07	6.816227937634e-07
7.427032073792e-07	7.167647027018e-07	7.305689564419e-07	7.217293500617e-07	7.353107775998e-07	7.382825515378e-07	7.291397423614e-07	7.415663958454e-07	7.273466735569e-07	7.11737641268e-07
7.136472959246e-07	7.201666107903e-07	7.046750738482e-07	7.309049578907e-07	7.285831884474e-07	7.266224315572e-07	7.302173230528e-07	7.192317070803e-07	7.223642342069e-07	7.404814255096e-07
7.13005306352e-07	7.0661474183e-07	7.393765031338e-07	7.189036068667e-07	7.27274084511e-07	7.251796887431e-07	7.129607411116e-07	7.198984803836e-07	7.161460757743e-07	7.033998485895e-07
6.393609055522e-07	6.321522505459e-07	6.26071255283e-07	6.718717031617e-07	6.584865559489e-07	6.417446911655e-07	6.621169177379e-07	6.348153647195e-07	6.297033223746e-07	6.594484034395e-07
5.808776109006e-07	5.8227954014e-07	5.824634854434e-07	5.87220313264e-07	5.863244041393e-07	6.000457233313e-07	5.734405590374e-07	5.904803970225e-07	5.834601211063e-07	5.770091888735e-07
4.671418025737e-07	4.680016445491e-07	4.731165859084e-07	4.821620791517e-07	4.772339821102e-07	4.570050577968e-07	4.595386826622e-07	4.672948250573e-07	4.487518765472e-07	4.852278152612e-07
3.772592549467e-07	3.617088566443e-07	3.85838177408e-07	3.716271237408e-07	3.802981893841e-07	3.804937875884e-07	3.728358990429e-07	3.81220587542e-07	3.89299714243e-07	3.769850707158e-07
2.626870525546e-07	2.632564246596e-07	2.422027307603e-07	2.574691961854e-07	2.458927212956e-07	2.392815190433e-07	2.491052271125e-07	2.466394732892e-07	2.459444772285e-07	2.79190743413e-07
1.552750745759e-07	1.578291630722e-07	1.638794628889e-07	1.649356704547e-07	1.504080415771e-07	1.582016722068e-07	1.441375871991e-07	1.547196006868e-07	1.577303123668e-07	1.477603461808e-07
3.110861612754e-08	3.784520430372e-08	1.217882950044e-08	1.397649818102e-08	1.413402106465e-08	1.645809710737e-08	2.573909796411e-08	2.939352405917e-08	2.709692736858e-08	3.780225910077e-08
