########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	32425
file                           	FCCH-035_45_D_BOA_000.4A_200122_160729.dat
date                           	22/01/2020
hour                           	16:07:29
operator                       	Lucas Balthazar
software_version               	v3.6
bench                          	1
temperature(C)                 	25.05
integrator_gain                	100
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+3.991000e-01
main_coil_current_std(A)       	+4.435503e-03
main_coil_volt_avg(V)          	+1.210000e-01
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+3.031822e-01
magnet_resistance_std(ohm)     	+3.369495e-03
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-4_27-08-2018_r=13mm
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	232861
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.013042
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	Desmagnetização bipolar + rampa de excitação



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/SnMagnet@12.0mm	std_Nn/SnMagnet@12.0mm	avg_Sn/SnMagnet@12.0mm	std_Sn/SnMagnet@12.0mm
1   	  -1.876414e-04   	  +1.347340e-07   	  -9.449064e-06   	  +1.703322e-07   	  +1.878791e-04   	  +1.348359e-07   	  +5.031454e-02   	  +9.061757e-04   	  +1.000000e+00   	  +1.015462e-03   	  +5.035722e-02   	  +9.084736e-04   
2   	  -7.862438e-05   	  +1.159392e-05   	  -5.858584e-05   	  +9.079905e-06   	  +9.805148e-05   	  +1.076400e-05   	  +3.201904e-01   	  +5.124792e-02   	  +5.027889e-03   	  +7.414607e-04   	  +3.746811e-03   	  +5.806824e-04   
3   	  -6.143346e-01   	  +7.044991e-04   	  +2.005606e-03   	  +9.204274e-04   	  +6.143378e-01   	  +7.045017e-04   	  -1.088223e-03   	  +4.994132e-04   	  +4.714537e-01   	  +6.378851e-04   	  -1.539246e-03   	  +7.063565e-04   
4   	  -5.340526e-02   	  +7.032451e-02   	  +1.146671e-02   	  +6.539805e-02   	  +5.462240e-02   	  +7.011470e-02   	  -5.287504e-02   	  +3.003481e-01   	  +4.917630e-04   	  +6.476225e-04   	  -1.055710e-04   	  +6.022543e-04   
5   	  +8.684460e+01   	  +4.746057e+00   	  -3.412755e+00   	  +5.530803e+00   	  +8.691163e+01   	  +4.747367e+00   	  -7.855411e-03   	  +1.272483e-02   	  -9.597006e-03   	  +5.245258e-04   	  +3.770097e-04   	  +6.112018e-04   
6   	  +3.496903e+02   	  +2.322325e+02   	  -6.121904e+02   	  +5.640381e+02   	  +7.050251e+02   	  +5.031308e+02   	  -1.753023e-01   	  +8.152493e-02   	  -4.638721e-04   	  +3.079647e-04   	  +8.120535e-04   	  +7.479735e-04   
7   	  +3.016195e+06   	  +1.936015e+04   	  -4.866587e+04   	  +2.385996e+04   	  +3.016588e+06   	  +1.936145e+04   	  -2.304779e-03   	  +1.129891e-03   	  -4.799753e-02   	  +3.100045e-04   	  +7.744412e-04   	  +3.796899e-04   
8   	  -1.021332e+06   	  +1.554873e+06   	  +6.747833e+05   	  +1.226148e+06   	  +1.224113e+06   	  +1.462818e+06   	  -7.298162e-02   	  +1.362853e-01   	  +1.950283e-04   	  +2.969170e-04   	  -1.289077e-04   	  +2.341440e-04   
9   	  +4.426476e+09   	  +1.278679e+08   	  -1.400566e+08   	  +8.683992e+07   	  +4.428691e+09   	  +1.278334e+08   	  -3.514457e-03   	  +2.179993e-03   	  -1.014338e-02   	  +2.931008e-04   	  +3.209522e-04   	  +1.989945e-04   
10  	  -4.739644e+08   	  +1.342992e+10   	  +6.699268e+09   	  +1.054432e+10   	  +6.716013e+09   	  +1.056064e+10   	  -1.500165e-01   	  +1.997776e-01   	  +1.300739e-05   	  +3.692974e-04   	  -1.842561e-04   	  +2.899486e-04   
11  	  -8.418129e+11   	  +7.782040e+11   	  -2.379341e+11   	  +9.648308e+11   	  +8.747923e+11   	  +7.935151e+11   	  +2.504179e-02   	  +9.896147e-02   	  +2.778137e-04   	  +2.567896e-04   	  +7.850717e-05   	  +3.183721e-04   
12  	  -8.261486e+12   	  +6.216532e+13   	  +2.093992e+13   	  +7.688987e+13   	  +2.251072e+13   	  +7.507510e+13   	  -9.958432e-02   	  +2.382022e-01   	  +3.271161e-05   	  +2.461576e-04   	  -8.289998e-05   	  +3.044628e-04   
13  	  -2.421873e+16   	  +7.476122e+15   	  -2.779220e+14   	  +4.000141e+15   	  +2.422033e+16   	  +7.475770e+15   	  +8.826919e-04   	  +1.270642e-02   	  +1.150780e-03   	  +3.552417e-04   	  +1.318644e-05   	  +1.900735e-04   
14  	  +2.225339e+17   	  +3.293392e+17   	  +1.119742e+16   	  +3.983916e+17   	  +2.228155e+17   	  +3.295318e+17   	  +3.591102e-03   	  +1.276624e-01   	  -1.269174e-04   	  +1.877894e-04   	  -6.391855e-06   	  +2.271631e-04   
15  	  -7.532362e+19   	  +2.391987e+19   	  +1.223956e+19   	  +3.499575e+19   	  +7.631156e+19   	  +2.426823e+19   	  -1.073900e-02   	  +3.036245e-02   	  +5.153695e-04   	  +1.636699e-04   	  -8.374533e-05   	  +2.394552e-04   

magnetic_center_x(um) 	0.0
magnetic_center_y(um) 	0.0


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
4.660330716888e-07	4.486730063036e-07	4.640119755095e-07	4.530583908036e-07	4.466552070426e-07	4.678406071434e-07	4.3894166879e-07	4.536134952104e-07	4.657419481191e-07	4.362903780475e-07
5.866575065738e-07	6.08592813478e-07	6.004804049553e-07	5.926210064899e-07	6.159594363453e-07	5.841984602739e-07	6.013333404553e-07	6.078121828068e-07	5.839809773533e-07	6.084219990043e-07
7.097278285073e-07	6.924875037839e-07	6.928268021511e-07	7.144147389226e-07	6.851037710476e-07	7.113220590327e-07	6.934508292034e-07	6.92453454576e-07	6.986123821662e-07	6.907230840625e-07
8.407337759309e-07	8.625555665276e-07	8.523482506462e-07	8.479519806315e-07	8.611879138698e-07	8.431767355432e-07	8.539386158191e-07	8.55285122725e-07	8.261459925052e-07	8.576797654314e-07
9.659365787229e-07	9.455187637286e-07	9.555741371514e-07	9.606815183361e-07	9.38968526043e-07	9.616554734748e-07	9.558992815073e-07	9.427034228793e-07	9.594418770575e-07	9.443197086512e-07
1.109316031034e-06	1.133961177402e-06	1.1281551906e-06	1.116176008509e-06	1.139798655458e-06	1.123127958635e-06	1.12257953333e-06	1.140767608376e-06	1.101837597162e-06	1.134035073846e-06
1.245819589712e-06	1.230032694366e-06	1.23571135191e-06	1.246034344149e-06	1.221618049385e-06	1.237809556187e-06	1.240395590685e-06	1.21955645227e-06	1.243830183739e-06	1.229900817634e-06
1.388747136843e-06	1.407280592503e-06	1.408389607604e-06	1.399996790497e-06	1.417094722456e-06	1.40043346164e-06	1.397176447426e-06	1.421176307304e-06	1.392209583173e-06	1.406788442182e-06
1.521769263491e-06	1.503976136519e-06	1.506162220721e-06	1.529549763291e-06	1.49691425122e-06	1.520218575024e-06	1.517503051218e-06	1.502556074229e-06	1.516718384664e-06	1.507086039965e-06
1.64222467447e-06	1.646715986681e-06	1.669393554948e-06	1.634521368032e-06	1.662382373979e-06	1.650067929404e-06	1.641753101467e-06	1.658849669184e-06	1.644912117627e-06	1.64557025073e-06
1.712057155601e-06	1.709139155537e-06	1.700920506664e-06	1.717409645607e-06	1.689371970315e-06	1.711370373414e-06	1.713603751341e-06	1.696551748864e-06	1.703237444417e-06	1.709700768515e-06
1.768990955497e-06	1.787061023606e-06	1.799847041184e-06	1.772016048562e-06	1.794674403754e-06	1.795094362933e-06	1.775978603291e-06	1.80278402695e-06	1.773104827407e-06	1.785850031411e-06
1.788496433619e-06	1.797392201297e-06	1.777909119483e-06	1.797853769858e-06	1.778892283255e-06	1.782914523574e-06	1.795483285605e-06	1.76963976628e-06	1.783068000805e-06	1.792914076759e-06
1.789553607523e-06	1.79365929398e-06	1.804224098123e-06	1.790103738131e-06	1.795144157768e-06	1.807418129829e-06	1.782115532478e-06	1.807939156606e-06	1.791563931874e-06	1.795152570594e-06
1.73634418843e-06	1.743007828736e-06	1.731986913001e-06	1.752706452862e-06	1.737005618452e-06	1.730250119181e-06	1.748426711856e-06	1.725178208289e-06	1.739854496918e-06	1.742147560435e-06
1.690946191957e-06	1.688467818894e-06	1.708181798676e-06	1.683359641902e-06	1.695682840364e-06	1.704024043647e-06	1.686433279247e-06	1.710249307507e-06	1.687117105575e-06	1.686865971351e-06
1.607911144674e-06	1.624896981411e-06	1.59103592523e-06	1.624004880796e-06	1.605150146133e-06	1.600598125151e-06	1.617290195099e-06	1.601424287401e-06	1.598795051905e-06	1.622106196919e-06
1.556536403768e-06	1.530734607513e-06	1.560052396599e-06	1.536123477308e-06	1.543490384392e-06	1.554955474603e-06	1.534624175292e-06	1.549125386191e-06	1.547089482301e-06	1.53631935973e-06
1.433599550182e-06	1.446899887014e-06	1.420634816895e-06	1.441740892005e-06	1.438523213437e-06	1.422907530468e-06	1.441281824555e-06	1.429388248653e-06	1.426935114068e-06	1.441342419639e-06
1.369738811263e-06	1.349534954898e-06	1.374549356115e-06	1.363720230074e-06	1.357661972179e-06	1.380912067361e-06	1.347253714812e-06	1.362695911666e-06	1.363437490909e-06	1.352015715383e-06
1.262586238227e-06	1.279834691559e-06	1.261276906916e-06	1.263490730707e-06	1.281716208723e-06	1.2565783436e-06	1.278045601794e-06	1.259951091015e-06	1.253613731933e-06	1.279477714888e-06
1.218871034325e-06	1.198339759867e-06	1.220535182256e-06	1.216641635438e-06	1.203732608701e-06	1.222252535626e-06	1.196239281853e-06	1.210094410453e-06	1.210831328535e-06	1.201425902764e-06
1.120191086557e-06	1.140492486229e-06	1.120418687606e-06	1.125848598349e-06	1.13207886443e-06	1.116459884543e-06	1.136405103352e-06	1.128068106482e-06	1.10999565095e-06	1.135935008278e-06
1.102813826037e-06	1.062578348865e-06	1.092843149308e-06	1.087833652491e-06	1.073960333997e-06	1.094654180633e-06	1.076108105735e-06	1.0760755913e-06	1.091911713047e-06	1.066256345439e-06
1.006088496069e-06	1.034298065861e-06	1.013938572214e-06	1.017314275487e-06	1.030958060255e-06	1.012695406644e-06	1.024752464218e-06	1.033576381815e-06	9.976040473703e-07	1.035820673678e-06
1.002896965474e-06	9.666021014709e-07	9.922033541443e-07	9.974581871575e-07	9.771802069736e-07	9.997554570873e-07	9.895978791974e-07	9.86988538898e-07	9.932921329892e-07	9.788208217287e-07
9.388591593051e-07	9.587847671355e-07	9.521008905722e-07	9.455068834541e-07	9.703069281386e-07	9.457472742724e-07	9.533133038531e-07	9.595926258044e-07	9.363315598421e-07	9.608996833776e-07
9.514389489595e-07	9.284440807278e-07	9.329743875242e-07	9.534988407722e-07	9.206461299982e-07	9.490415777691e-07	9.331250225841e-07	9.267070026908e-07	9.450030233893e-07	9.281135362471e-07
9.043728255165e-07	9.113868486565e-07	9.176305866276e-07	8.967199960352e-07	9.297513088313e-07	9.053894132194e-07	9.068995723283e-07	9.157981821772e-07	8.963848472376e-07	9.211007636623e-07
9.284450470659e-07	8.984562214209e-07	9.116477599491e-07	9.294327014686e-07	9.025429221765e-07	9.271764724872e-07	9.187326099891e-07	9.041847874869e-07	9.149620154858e-07	9.14302631827e-07
8.873014962774e-07	8.962265951595e-07	9.073903584067e-07	8.848455763655e-07	9.128705755757e-07	8.996822771223e-07	8.884767908057e-07	9.013766089083e-07	8.760135870034e-07	9.041202133631e-07
9.250899211111e-07	9.025432063936e-07	9.070944315681e-07	9.202957471643e-07	9.003347827274e-07	9.131437082033e-07	9.205062951878e-07	8.959327715274e-07	9.164056109512e-07	9.091235710912e-07
