########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	31411
file                           	FCCH-074_D_BOA_000.6A_200113_122908.dat
date                           	13/01/2020
hour                           	12:29:08
operator                       	Lucas Balthazar
software_version               	v3.6
bench                          	1
temperature(C)                 	24.8
integrator_gain                	100
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+5.986000e-01
main_coil_current_std(A)       	+4.638512e-03
main_coil_volt_avg(V)          	+9.400000e-02
main_coil_volt_std(V)          	+1.423831e-17
magnet_resistance_avg(ohm)     	+1.570331e-01
magnet_resistance_std(ohm)     	+1.216839e-03
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-4_27-08-2018_r=13mm
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	232861
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.013042
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	Desmagnetização bipolar + rampa de excitação



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/SnMagnet@12.0mm	std_Nn/SnMagnet@12.0mm	avg_Sn/SnMagnet@12.0mm	std_Sn/SnMagnet@12.0mm
1   	  -1.866948e-04   	  +2.273294e-07   	  -1.013937e-05   	  +9.426561e-08   	  +1.869699e-04   	  +2.270524e-07   	  +5.425655e-02   	  +5.077329e-04   	  +1.000000e+00   	  +1.722020e-03   	  +5.430981e-02   	  +5.092305e-04   
2   	  -6.260200e-05   	  +7.359429e-06   	  -6.867093e-05   	  +7.689842e-06   	  +9.292312e-05   	  +7.541673e-06   	  +4.157983e-01   	  +4.041617e-02   	  +4.023660e-03   	  +4.730602e-04   	  +4.413948e-03   	  +4.943017e-04   
3   	  +6.167898e-01   	  +5.955792e-04   	  -2.486076e-02   	  +5.884810e-04   	  +6.172906e-01   	  +5.955678e-04   	  -1.342830e-02   	  +3.177826e-04   	  -4.757385e-01   	  +7.393216e-04   	  +1.917525e-02   	  +4.545028e-04   
4   	  -3.075422e-03   	  +4.126820e-02   	  -8.401354e-04   	  +2.587052e-02   	  +3.188110e-03   	  +4.038905e-02   	  +6.666772e-02   	  +2.134702e+00   	  +2.842615e-05   	  +3.819680e-04   	  +7.744724e-06   	  +2.394510e-04   
5   	  -9.543921e+01   	  +3.151601e+00   	  -2.106930e+00   	  +2.090411e+00   	  +9.546246e+01   	  +3.151171e+00   	  +4.414511e-03   	  +4.380903e-03   	  +1.060009e-02   	  +3.502830e-04   	  +2.340371e-04   	  +2.321800e-04   
6   	  -8.026994e+02   	  +1.902479e+02   	  -4.055917e+02   	  +3.006522e+02   	  +8.993503e+02   	  +2.172953e+02   	  +7.797774e-02   	  +5.220891e-02   	  +1.069975e-03   	  +2.535710e-04   	  +5.407491e-04   	  +4.007181e-04   
7   	  +3.044246e+06   	  +1.012752e+04   	  -1.425214e+05   	  +1.865261e+04   	  +3.047580e+06   	  +1.015398e+04   	  -6.683215e-03   	  +8.736778e-04   	  -4.868954e-02   	  +1.724879e-04   	  +2.279402e-03   	  +2.983415e-04   
8   	  -1.061274e+06   	  +1.096735e+06   	  -1.447425e+06   	  +1.623307e+06   	  +1.794810e+06   	  +1.460938e+06   	  +1.172655e-01   	  +9.090276e-02   	  +2.036713e-04   	  +2.104934e-04   	  +2.777229e-04   	  +3.115570e-04   
9   	  +4.464236e+09   	  +5.622209e+07   	  +1.079058e+08   	  +9.095148e+07   	  +4.465540e+09   	  +5.624862e+07   	  +2.685164e-03   	  +2.262637e-03   	  -1.028183e-02   	  +1.300904e-04   	  -2.486599e-04   	  +2.094729e-04   
10  	  +7.010066e+09   	  +4.787599e+09   	  +2.074275e+08   	  +5.807772e+09   	  +7.013134e+09   	  +4.788587e+09   	  +2.958132e-03   	  +8.280118e-02   	  -1.938029e-04   	  +1.323176e-04   	  -5.742161e-06   	  +1.605124e-04   
11  	  +8.344953e+11   	  +5.297901e+11   	  -2.104354e+09   	  +4.410578e+11   	  +8.344980e+11   	  +5.297896e+11   	  -2.292457e-04   	  +4.804832e-02   	  -2.768074e-04   	  +1.757053e-04   	  +7.441979e-07   	  +1.462769e-04   
12  	  -2.814482e+12   	  +2.932584e+13   	  -3.588104e+13   	  +3.181998e+13   	  +3.599126e+13   	  +3.180532e+13   	  +1.243764e-01   	  +6.793719e-02   	  +1.115997e-05   	  +1.167110e-04   	  +1.428042e-04   	  +1.266373e-04   
13  	  +2.535259e+16   	  +2.793873e+15   	  -1.091381e+15   	  +2.397319e+15   	  +2.537607e+16   	  +2.793191e+15   	  -3.309350e-03   	  +7.269458e-03   	  -1.210794e-03   	  +1.334369e-04   	  +5.215511e-05   	  +1.144903e-04   
14  	  -1.744886e+16   	  +1.637762e+17   	  +1.015118e+16   	  +2.003583e+17   	  +2.018686e+16   	  +1.737558e+17   	  -3.763611e-02   	  +6.785467e-01   	  +9.964800e-06   	  +9.385873e-05   	  -5.737975e-06   	  +1.148237e-04   
15  	  -6.736523e+19   	  +1.407675e+19   	  +2.937044e+18   	  +1.224260e+19   	  +6.742922e+19   	  +1.407350e+19   	  -2.904748e-03   	  +1.210785e-02   	  +4.631961e-04   	  +9.680883e-05   	  -2.017397e-05   	  +8.419356e-05   

magnetic_center_x(um) 	0.0
magnetic_center_y(um) 	0.0


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
3.20584746305e-07	3.089413382895e-07	3.061089159928e-07	3.152479450819e-07	3.231699281514e-07	3.385591469396e-07	3.332497442443e-07	3.127582886009e-07	3.096762952737e-07	2.978089810313e-07
2.256844737758e-07	2.351602148565e-07	2.354874055754e-07	2.287831364356e-07	2.118910344961e-07	2.06590129892e-07	2.063047759293e-07	2.093022430927e-07	2.262316627366e-07	2.235650669036e-07
1.800706002086e-07	1.667435043373e-07	1.611666959889e-07	1.705895158466e-07	1.765430397427e-07	1.915031191402e-07	1.897533650208e-07	1.809661966945e-07	1.725738627556e-07	1.634161321817e-07
1.118049013371e-07	1.164008338606e-07	1.181237365699e-07	1.140388121712e-07	9.772760733995e-08	1.004576475339e-07	9.403191114643e-08	8.773817938845e-08	1.050994526963e-07	1.222716292659e-07
1.057912584201e-07	9.826722191519e-08	8.934367912161e-08	9.096461184299e-08	9.296613256993e-08	1.157464026846e-07	1.195242447238e-07	1.164359986205e-07	9.99881564212e-08	8.442508203643e-08
7.281511926749e-08	8.146690788635e-08	9.369632891776e-08	9.541928847057e-08	8.638536286298e-08	7.35298826271e-08	6.068179914109e-08	6.687943709949e-08	8.115014793475e-08	9.965717140403e-08
1.358130106155e-07	1.228734021197e-07	1.087962644419e-07	1.059451406604e-07	1.170896481995e-07	1.362380430692e-07	1.403809477551e-07	1.368328241824e-07	1.222836374382e-07	1.094856898476e-07
1.376493656835e-07	1.496879349361e-07	1.579650756867e-07	1.644495313258e-07	1.516954455383e-07	1.486850891297e-07	1.354933516495e-07	1.334617252269e-07	1.485265670453e-07	1.60982693842e-07
2.383736301681e-07	2.272638397471e-07	2.145322071101e-07	2.146561826066e-07	2.182823664043e-07	2.305814632564e-07	2.34971281543e-07	2.35768666812e-07	2.282639286477e-07	2.162471162137e-07
2.586330367649e-07	2.660120799192e-07	2.734955444339e-07	2.817565984969e-07	2.766973352664e-07	2.757670358733e-07	2.676473798147e-07	2.503353186967e-07	2.53491634794e-07	2.713583171499e-07
3.703561617385e-07	3.65586032558e-07	3.558837136097e-07	3.510635622206e-07	3.447475194207e-07	3.565891120161e-07	3.656734008928e-07	3.720134316154e-07	3.727950286248e-07	3.508332042657e-07
4.004435822935e-07	3.993082771103e-07	4.04825300393e-07	4.185156683434e-07	4.138277915899e-07	4.190242748336e-07	3.952986560307e-07	3.849901588637e-07	3.891650806054e-07	4.099728414531e-07
5.191124614612e-07	5.149676667315e-07	4.99580437463e-07	4.894333756056e-07	4.774777835337e-07	4.950326228936e-07	5.084183953841e-07	5.098114002067e-07	5.102012892166e-07	4.973148861609e-07
5.34650098416e-07	5.381957635109e-07	5.487254952641e-07	5.593074661192e-07	5.495562049873e-07	5.55036933747e-07	5.40469045518e-07	5.318412377164e-07	5.337363404578e-07	5.46112801203e-07
6.675797408207e-07	6.643998631262e-07	6.507764851449e-07	6.385092206074e-07	6.29499140814e-07	6.396637104444e-07	6.48848470064e-07	6.534784233736e-07	6.55461462884e-07	6.496499054265e-07
6.980517923694e-07	6.942254344722e-07	6.935510441508e-07	7.057491302476e-07	7.066221883179e-07	7.134891006899e-07	7.034518034743e-07	6.939362720004e-07	6.872951416881e-07	6.93288200182e-07
8.231847914431e-07	8.217081699513e-07	8.095983048406e-07	8.125367685352e-07	8.004842015907e-07	8.008223062461e-07	8.018108701435e-07	8.116491017063e-07	8.214403806051e-07	8.23712696274e-07
8.815725891509e-07	8.729962814868e-07	8.72129248819e-07	8.807070912553e-07	8.889915648069e-07	9.021991900227e-07	8.913206670513e-07	8.677206437824e-07	8.70053440849e-07	8.743253374632e-07
1.000119709715e-06	1.010069922813e-06	1.011268864204e-06	1.002997692012e-06	9.862956176221e-07	9.842932513493e-07	9.941999223884e-07	1.004264277071e-06	1.008486265164e-06	1.007634182315e-06
1.083783331524e-06	1.070715939022e-06	1.073302996701e-06	1.084564132725e-06	1.094847789318e-06	1.105976252802e-06	1.09474024157e-06	1.081781306311e-06	1.076961552826e-06	1.080802007891e-06
1.231609985552e-06	1.234711817233e-06	1.240022925231e-06	1.231729584106e-06	1.219319301526e-06	1.218245529344e-06	1.224668835675e-06	1.221369984705e-06	1.234282763107e-06	1.237867309101e-06
1.338205038337e-06	1.330528448307e-06	1.326107735622e-06	1.331710109298e-06	1.343402573184e-06	1.350444563286e-06	1.350170009573e-06	1.341060624327e-06	1.333587192676e-06	1.332314127467e-06
1.485861048423e-06	1.489309397584e-06	1.501569045104e-06	1.500990833847e-06	1.489348164796e-06	1.485191774009e-06	1.477455271015e-06	1.479477077737e-06	1.493366198702e-06	1.503659291302e-06
1.621525939299e-06	1.609984565221e-06	1.605361262591e-06	1.606428554624e-06	1.610448066458e-06	1.629799044167e-06	1.633936108192e-06	1.620252646717e-06	1.611139396118e-06	1.607917852198e-06
1.745823396959e-06	1.748786530698e-06	1.765085812622e-06	1.774289899004e-06	1.757553491188e-06	1.746361931509e-06	1.741596861393e-06	1.74356171101e-06	1.758734242685e-06	1.76469507096e-06
1.862681187959e-06	1.848235456237e-06	1.830965402405e-06	1.838209868765e-06	1.846041413955e-06	1.868720119091e-06	1.869669517873e-06	1.855194909695e-06	1.84962016192e-06	1.847485123108e-06
1.950632167791e-06	1.966825720956e-06	1.969865252249e-06	1.978012505788e-06	1.96563883037e-06	1.959543169505e-06	1.950266550921e-06	1.95261850422e-06	1.96098608285e-06	1.96652035811e-06
2.033828423009e-06	2.028649078056e-06	2.009719764828e-06	2.013974608417e-06	2.017760380113e-06	2.033358214248e-06	2.040708977802e-06	2.03704598789e-06	2.028315520874e-06	2.02840806196e-06
2.081358616124e-06	2.095336640195e-06	2.096049684042e-06	2.108431772285e-06	2.102541202476e-06	2.096061734846e-06	2.08546543945e-06	2.083520939777e-06	2.077393446598e-06	2.09674612961e-06
2.125051651092e-06	2.120506906067e-06	2.102144208038e-06	2.102547568938e-06	2.095657919199e-06	2.112472202498e-06	2.127873813151e-06	2.130996108463e-06	2.121289298884e-06	2.114150220223e-06
2.105550038323e-06	2.108657099598e-06	2.112232778018e-06	2.130288976332e-06	2.123409331034e-06	2.122020077877e-06	2.103088036165e-06	2.096305252053e-06	2.104673058057e-06	2.117945541613e-06
2.102368625856e-06	2.101407062582e-06	2.08664891943e-06	2.075141537716e-06	2.068861249427e-06	2.088826022373e-06	2.105556859533e-06	2.106600959451e-06	2.097520109601e-06	2.089722556775e-06
