########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	44570
file                           	FCCV-083_45_D_BOA_000.4A_201211_122948.dat
date                           	11/12/2020
hour                           	12:29:48
operator                       	Lucas Balthazar
software_version               	v3.6
bench                          	1
temperature(C)                 	23.87
integrator_gain                	100
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+4.001000e-01
main_coil_current_std(A)       	+4.076893e-03
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-4_2020-08-06_r=13mm_b1_CALIBRATED
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	232433
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.013042
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	Desmagnetização bipolar + rampa de excitação, R = 0.013042, fator = 0%



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/SnMagnet@12.0mm	std_Nn/SnMagnet@12.0mm	avg_Sn/SnMagnet@12.0mm	std_Sn/SnMagnet@12.0mm
1   	  -3.825043e-05   	  +1.878614e-07   	  -1.912454e-04   	  +1.631022e-07   	  +1.950331e-04   	  +1.641236e-07   	  +1.974023e-01   	  +9.586564e-04   	  +2.000066e-01   	  +9.970054e-04   	  +1.000000e+00   	  +1.206101e-03   
2   	  -2.692069e-04   	  +1.250235e-05   	  -1.392312e-04   	  +6.364983e-06   	  +3.030803e-04   	  +1.148354e-05   	  +5.467457e-01   	  +1.329543e-02   	  +1.689140e-02   	  +7.846125e-04   	  +8.736227e-03   	  +3.994506e-04   
3   	  -5.845880e-02   	  +8.472260e-04   	  +5.572948e-01   	  +4.393216e-04   	  +5.603525e-01   	  +4.457747e-04   	  -3.483841e-02   	  +5.019747e-04   	  +4.401678e-02   	  +6.390302e-04   	  -4.196206e-01   	  +4.873333e-04   
4   	  +2.471017e-03   	  +3.635871e-02   	  -1.401449e-01   	  +3.291925e-02   	  +1.401667e-01   	  +3.292038e-02   	  -4.407512e-03   	  +6.484724e-02   	  -2.241715e-05   	  +3.285195e-04   	  +1.266448e-03   	  +2.974442e-04   
5   	  +2.263092e+00   	  +2.751195e+00   	  +8.544243e+01   	  +1.995716e+00   	  +8.547240e+01   	  +1.996346e+00   	  +5.296111e-03   	  +6.436554e-03   	  -2.454116e-04   	  +2.983015e-04   	  -9.264253e-03   	  +2.165320e-04   
6   	  +2.641433e+02   	  +1.646970e+02   	  +8.126115e+02   	  +1.698680e+02   	  +8.544643e+02   	  +1.693807e+02   	  +5.238025e-02   	  +3.222256e-02   	  -3.437596e-04   	  +2.142897e-04   	  -1.057330e-03   	  +2.210194e-04   
7   	  +2.964651e+05   	  +1.602346e+04   	  -2.759486e+06   	  +1.124135e+04   	  +2.775365e+06   	  +1.130733e+04   	  -1.528920e-02   	  +8.223870e-04   	  -4.628882e-03   	  +2.502113e-04   	  +4.308493e-02   	  +1.793203e-04   
8   	  +2.484571e+06   	  +6.545157e+06   	  -2.801312e+06   	  +7.503726e+06   	  +3.744388e+06   	  +7.097645e+06   	  -9.069345e-02   	  +2.331302e-01   	  -4.657375e-04   	  +1.226303e-03   	  +5.255411e-04   	  +1.405901e-03   
9   	  +3.937861e+08   	  +2.124288e+08   	  +3.990036e+09   	  +2.243629e+08   	  +4.009421e+09   	  +2.242508e+08   	  +1.093042e-02   	  +5.890213e-03   	  -8.853423e-04   	  +4.776093e-04   	  -8.971121e-03   	  +5.044985e-04   
10  	  -1.363202e+10   	  +5.564972e+10   	  +1.025505e+10   	  +6.504563e+10   	  +1.705867e+10   	  +5.921767e+10   	  -9.258397e-02   	  +3.623671e-01   	  +3.679047e-04   	  +1.501423e-03   	  -2.774896e-04   	  +1.754924e-03   
11  	  +2.163309e+10   	  +6.042337e+11   	  +4.802601e+11   	  +1.007117e+12   	  +4.807471e+11   	  +1.006464e+12   	  +4.092191e-03   	  +1.144659e-01   	  -6.991735e-06   	  +1.956259e-04   	  -1.553038e-04   	  +3.260628e-04   
12  	  +3.546970e+13   	  +9.215960e+13   	  +1.248106e+13   	  +9.745040e+13   	  +3.760155e+13   	  +9.275732e+13   	  +1.027040e-01   	  +2.147111e-01   	  -1.378329e-04   	  +3.580496e-04   	  -4.832310e-05   	  +3.786050e-04   
13  	  -2.562552e+15   	  +2.392595e+15   	  -2.279304e+16   	  +3.260453e+15   	  +2.293664e+16   	  +3.251049e+15   	  +8.612065e-03   	  +8.066902e-03   	  +1.194106e-04   	  +1.115458e-04   	  +1.062632e-03   	  +1.520091e-04   
14  	  -1.290021e+17   	  +2.384560e+17   	  -1.110019e+17   	  +2.097516e+17   	  +1.701851e+17   	  +2.266892e+17   	  +6.144697e-02   	  +9.335054e-02   	  +7.215805e-05   	  +1.334054e-04   	  +6.205894e-05   	  +1.173466e-04   
15  	  -2.287282e+18   	  +1.987100e+19   	  +8.839953e+19   	  +2.131503e+19   	  +8.842912e+19   	  +2.131409e+19   	  -1.724573e-03   	  +1.498150e-02   	  +1.536443e-05   	  +1.334032e-04   	  -5.934899e-04   	  +1.430985e-04   

magnetic_center_x(um) 	0.0
magnetic_center_y(um) 	0.0


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
9.545609600536e-07	9.549476089887e-07	9.64143055171e-07	9.573290071785e-07	9.546695309837e-07	9.56587427936e-07	9.484047609476e-07	9.575378498994e-07	9.620254104448e-07	9.535961567053e-07
9.767990150067e-07	9.734172863318e-07	9.693857236925e-07	9.775759508557e-07	9.77643708211e-07	9.563765388521e-07	9.695337439553e-07	9.794233619687e-07	9.714041198094e-07	9.824657354329e-07
1.01342641301e-06	1.008396793623e-06	1.017269255499e-06	1.009707716548e-06	1.008688059301e-06	1.010156438497e-06	1.00105569345e-06	1.007470586956e-06	1.017146018967e-06	1.007701371236e-06
1.040352117343e-06	1.043437464432e-06	1.033418925545e-06	1.043306951942e-06	1.041777068167e-06	1.029298573485e-06	1.039878497977e-06	1.050050173035e-06	1.034821934809e-06	1.047133196153e-06
1.095888251257e-06	1.08961398837e-06	1.096416667679e-06	1.084374162019e-06	1.088268959393e-06	1.091280637411e-06	1.080481752069e-06	1.093492869586e-06	1.097660060623e-06	1.084512746274e-06
1.14281237984e-06	1.137816525443e-06	1.120483034356e-06	1.133119098995e-06	1.142973815149e-06	1.123181505136e-06	1.131866952164e-06	1.143229951595e-06	1.139078335655e-06	1.143456984209e-06
1.20913068713e-06	1.203222950608e-06	1.205639705404e-06	1.201626901093e-06	1.203074475598e-06	1.201777308779e-06	1.198496079269e-06	1.202197609018e-06	1.206411297971e-06	1.199456733048e-06
1.259938585463e-06	1.264210823138e-06	1.250786795026e-06	1.261989723389e-06	1.27040686948e-06	1.251491994481e-06	1.260611611542e-06	1.273168891203e-06	1.257325834558e-06	1.265666583095e-06
1.346913791167e-06	1.337509729638e-06	1.343526605524e-06	1.341163510915e-06	1.342708287666e-06	1.345891064375e-06	1.331634393864e-06	1.331996031695e-06	1.340492076451e-06	1.343350504612e-06
1.413520749338e-06	1.414374310116e-06	1.40127292525e-06	1.416789132236e-06	1.422114905836e-06	1.412876258655e-06	1.415079736944e-06	1.426464336873e-06	1.414533926436e-06	1.426186486242e-06
1.503713178863e-06	1.49584184328e-06	1.503862335994e-06	1.509262801846e-06	1.499965378571e-06	1.501620999989e-06	1.48626668306e-06	1.488672182859e-06	1.496941422374e-06	1.495863102718e-06
1.572154019414e-06	1.580353909958e-06	1.571088318997e-06	1.58453565291e-06	1.5991993223e-06	1.566349965287e-06	1.569073447172e-06	1.589983071426e-06	1.584384676789e-06	1.592025796526e-06
1.682494257693e-06	1.658823066464e-06	1.681465278125e-06	1.673847009442e-06	1.65704364008e-06	1.663844159339e-06	1.662928639234e-06	1.655663368183e-06	1.661832243371e-06	1.666306502557e-06
1.717326085782e-06	1.735694581839e-06	1.729897007863e-06	1.73176260887e-06	1.735471755637e-06	1.719362785479e-06	1.720701106933e-06	1.747401370267e-06	1.741917003528e-06	1.736772901495e-06
1.799486540222e-06	1.791497538761e-06	1.793256842575e-06	1.805298211366e-06	1.785172230484e-06	1.780334400792e-06	1.780219349712e-06	1.784125515769e-06	1.794178729142e-06	1.795795924409e-06
1.824914079407e-06	1.850687226579e-06	1.846122472671e-06	1.833670694396e-06	1.843344534791e-06	1.826902462199e-06	1.830336714193e-06	1.855329855971e-06	1.846831992225e-06	1.847772978181e-06
1.883265781544e-06	1.871381073215e-06	1.866040975074e-06	1.861339910647e-06	1.846248324e-06	1.845032215897e-06	1.865059516604e-06	1.859661665549e-06	1.851488491411e-06	1.850504645518e-06
1.849821160249e-06	1.866971047093e-06	1.859623580458e-06	1.854481411101e-06	1.865249600996e-06	1.864956402642e-06	1.847788666964e-06	1.884743596747e-06	1.884582729872e-06	1.867813011813e-06
1.837009904193e-06	1.825118147281e-06	1.80822053153e-06	1.81324287496e-06	1.816242502173e-06	1.808890374377e-06	1.83210704563e-06	1.811086463022e-06	1.8009257019e-06	1.807507373996e-06
1.753872993504e-06	1.763648697306e-06	1.758793359841e-06	1.746880002429e-06	1.775572286533e-06	1.786627422007e-06	1.764221792655e-06	1.788276790649e-06	1.776499743755e-06	1.770544599822e-06
1.688078214102e-06	1.668768732088e-06	1.663896341597e-06	1.671109998824e-06	1.669666858106e-06	1.664374849497e-06	1.676451461208e-06	1.65618871506e-06	1.63530876307e-06	1.661691612753e-06
1.540086145724e-06	1.551102059238e-06	1.544293695588e-06	1.567194317431e-06	1.583283165019e-06	1.556783445267e-06	1.56406088081e-06	1.576953764015e-06	1.562010538692e-06	1.568679408592e-06
1.43446641232e-06	1.420155172127e-06	1.420430749022e-06	1.434982550563e-06	1.418772285433e-06	1.442843426958e-06	1.415649762748e-06	1.394783680553e-06	1.419026716576e-06	1.408746356901e-06
1.25300050513e-06	1.271948690373e-06	1.294945491281e-06	1.292629121963e-06	1.288339035455e-06	1.271183805329e-06	1.289601982535e-06	1.298639176639e-06	1.296030973208e-06	1.307849288423e-06
1.163824776995e-06	1.137854610533e-06	1.128720441557e-06	1.148740466306e-06	1.151969740931e-06	1.135867819357e-06	1.120746560446e-06	1.111878304982e-06	1.129178031078e-06	1.164080345006e-06
9.636189588491e-07	1.009127913676e-06	1.022878905133e-06	1.041817426994e-06	1.008117692436e-06	1.007487867355e-06	1.010357891573e-06	1.026434233609e-06	1.038695700117e-06	1.02316084849e-06
9.046391937773e-07	8.778526421338e-07	8.847301842252e-07	8.696491136106e-07	8.734195375837e-07	8.356238367924e-07	8.488435696563e-07	8.831885907057e-07	8.795578878562e-07	8.624113547739e-07
7.360695803982e-07	7.583948331558e-07	7.700618880335e-07	7.574483902317e-07	7.350498663072e-07	7.614027026648e-07	7.678236215725e-07	7.750260238026e-07	7.645017490177e-07	7.836688382667e-07
6.582864671145e-07	6.56952920508e-07	6.343655059027e-07	6.575915563189e-07	6.237088996386e-07	6.057586006136e-07	6.358434916365e-07	6.242690915315e-07	6.403432166735e-07	6.223272634998e-07
5.011744974581e-07	5.40369569535e-07	5.414267434389e-07	5.031113801124e-07	5.140540793036e-07	5.489621912602e-07	5.438162702376e-07	5.556750011237e-07	5.549956085815e-07	5.273029728414e-07
4.428804629697e-07	3.928891487703e-07	3.808978874531e-07	3.91597154703e-07	3.835365305349e-07	3.565838255781e-07	3.874739604726e-07	4.044314607654e-07	3.82671260013e-07	3.821723737474e-07
2.903818767663e-07	3.056406967517e-07	2.781861780932e-07	2.769327522856e-07	2.917638823874e-07	3.039318698939e-07	3.218187885068e-07	2.984144202856e-07	2.958193192626e-07	3.049593715332e-07
1.825436157787e-07	1.497265174066e-07	1.514114416068e-07	1.406505560908e-07	1.499046220488e-07	1.545452903429e-07	1.645635165914e-07	1.539847716003e-07	1.350989435878e-07	1.209842253047e-07
4.246724216728e-08	4.626834382293e-08	4.493587013599e-08	5.36677973173e-08	6.594996193598e-08	6.353429427008e-08	4.382962259797e-08	5.303904160314e-08	5.254699075863e-08	7.517812150581e-08
-7.975420146522e-08	-9.788833210678e-08	-1.061518872802e-07	-8.359801739743e-08	-1.013639661096e-07	-1.068915977953e-07	-8.261595496606e-08	-9.9340404347e-08	-1.16239249337e-07	-9.279099089099e-08
-2.407882959687e-07	-2.166704149431e-07	-2.088806212441e-07	-2.045074580792e-07	-2.118897128867e-07	-1.994219047674e-07	-2.06508161682e-07	-2.090805963917e-07	-1.907123845513e-07	-2.027668983828e-07
-3.457806201368e-07	-3.709989755407e-07	-3.73863912273e-07	-3.457493562564e-07	-3.607380563153e-07	-3.858350225983e-07	-3.907841801265e-07	-3.855805630337e-07	-3.890499158388e-07	-3.565670851913e-07
-5.223841412771e-07	-5.014727548769e-07	-4.815688612325e-07	-4.832871809413e-07	-4.850076038565e-07	-4.850795676248e-07	-4.935787387694e-07	-5.002567604606e-07	-4.629914656107e-07	-4.795647328137e-07
-6.167435913085e-07	-6.108437560215e-07	-6.141618200672e-07	-6.182701781654e-07	-6.343038307932e-07	-6.473448479483e-07	-6.323228944893e-07	-6.173756332828e-07	-6.465667183875e-07	-6.361584610204e-07
-7.375871859949e-07	-7.380697297776e-07	-7.168675892899e-07	-6.946489747861e-07	-7.315374546124e-07	-7.309935767807e-07	-7.221370879051e-07	-6.922858233338e-07	-6.878643716846e-07	-7.041218736958e-07
-8.077638540271e-07	-7.787607501086e-07	-8.050445217123e-07	-8.16416672933e-07	-8.202151207115e-07	-8.388499850298e-07	-8.205740300582e-07	-8.312463251059e-07	-8.235107884502e-07	-8.144849630298e-07
-8.525940984327e-07	-8.592809308539e-07	-8.450093105239e-07	-8.506954713994e-07	-8.622619702692e-07	-8.520149776814e-07	-8.498888064423e-07	-8.363294341507e-07	-8.3513930349e-07	-8.544564593649e-07
-8.712925136933e-07	-8.656775207783e-07	-8.851668553689e-07	-8.88802389909e-07	-8.97917061593e-07	-8.982582926365e-07	-8.714468435755e-07	-8.759084266785e-07	-8.798419344203e-07	-8.865612244335e-07
-8.638397162031e-07	-8.831080435812e-07	-8.589843218942e-07	-8.751747486713e-07	-8.76712306308e-07	-8.653167924422e-07	-8.625074201518e-07	-8.611364705757e-07	-8.679749043949e-07	-8.722726647648e-07
-8.29950181469e-07	-8.127192927532e-07	-8.608738539806e-07	-8.467356451547e-07	-8.459699643026e-07	-8.464987217849e-07	-8.354667784261e-07	-8.353179055121e-07	-8.51412778502e-07	-8.485213243148e-07
-7.881216674832e-07	-7.915092510302e-07	-7.809873068254e-07	-7.833165227566e-07	-7.896510396677e-07	-7.785583875375e-07	-7.784323656779e-07	-7.891073323663e-07	-7.791081770847e-07	-7.727358024567e-07
-7.261526207003e-07	-7.320679173972e-07	-7.473342407138e-07	-7.295244586203e-07	-7.266329475897e-07	-7.448605856553e-07	-7.321357315959e-07	-7.248270890159e-07	-7.366725753855e-07	-7.437672024935e-07
-6.720146075168e-07	-6.720524652337e-07	-6.620248882427e-07	-6.540367962771e-07	-6.708817181789e-07	-6.567665309376e-07	-6.537883336932e-07	-6.604171858271e-07	-6.587497978217e-07	-6.514357551168e-07
-6.062500688131e-07	-5.906093747399e-07	-5.986353812659e-07	-5.986217388454e-07	-5.925338086854e-07	-6.061920885259e-07	-6.08486004694e-07	-6.009613571223e-07	-6.06751370924e-07	-6.03958596912e-07
-5.248572847449e-07	-5.357438226383e-07	-5.244997396403e-07	-5.148501713848e-07	-5.303057264427e-07	-5.280449499878e-07	-5.290202125252e-07	-5.313658562045e-07	-5.15372278187e-07	-5.086176315672e-07
-4.76288732898e-07	-4.656515102397e-07	-4.798895929525e-07	-4.769466386279e-07	-4.763779202221e-07	-4.858034117206e-07	-4.87381100811e-07	-4.726438760372e-07	-4.788257115251e-07	-4.747673756356e-07
-4.246429341492e-07	-4.262068955541e-07	-4.137451981023e-07	-4.136127529364e-07	-4.326988403136e-07	-4.264455242264e-07	-4.201100409773e-07	-4.239388999849e-07	-4.137071698551e-07	-4.143139449297e-07
-3.837899669179e-07	-3.819437779384e-07	-3.921033169263e-07	-3.913821160495e-07	-3.91449560766e-07	-3.986340288975e-07	-3.942987518712e-07	-3.771780825446e-07	-3.903549554707e-07	-3.925784426428e-07
